framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,256,8,4,128,1,bfloat16,fp8,0,0.049413333336512245
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,128,16,16,256,1,bfloat16,fp8,0,0.04483200112978617
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,128,512,40,8,256,1,bfloat16,fp8,0,1.20797332127889
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,2048,64,1,128,1,bfloat16,fp8,0,0.25703465938568115
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,256,4,4,256,1,bfloat16,fp8,0,0.023056000471115112
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,12288,2,1,256,1,bfloat16,fp8,0,0.2746079961458842
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,512,8,1,128,1,bfloat16,fp8,0,0.2523840069770813
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,1024,40,8,128,1,bfloat16,fp8,0,0.0937546690305074
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,1,8,4,128,1,bfloat16,fp8,0,0.019365333020687103
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,16,8,1,256,1,bfloat16,fp8,0,0.05402666827042898
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,4096,40,1,256,1,bfloat16,fp8,0,3.2593653996785483
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,32,16,2,256,1,bfloat16,fp8,0,0.1011786659558614
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,128,32,48,48,256,1,bfloat16,fp8,0,0.37221864859263104
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,8,2048,24,8,128,1,bfloat16,fp8,0,0.23568532864252725
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,1,1,48,8,128,1,bfloat16,fp8,0,0.006815999746322632
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,1024,16,8,128,1,bfloat16,fp8,0,0.11935466527938843
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,128,40,8,256,1,bfloat16,fp8,0,0.062234664956728615
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,16,4096,64,1,256,1,bfloat16,fp8,0,4.901098569234212
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,32,40,4,256,1,bfloat16,fp8,0,0.07763200004895528
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,8,6144,40,1,256,1,bfloat16,fp8,0,3.393312136332194
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,256,128,12,2,128,1,bfloat16,fp8,0,0.11940266688664754
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,12288,8,8,256,1,bfloat16,fp8,0,1.4250507354736328
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,4,4096,64,8,128,1,bfloat16,fp8,0,0.832266648610433
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,12288,8,8,256,1,bfloat16,fp8,0,0.7689546744028727
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,128,32,40,4,128,1,bfloat16,fp8,0,0.13261333107948303
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,2,16,16,16,256,1,bfloat16,fp8,0,0.043824002146720886
VLLM,0.20.0,NVIDIA B200,context_attention,vllm_flashinfer,64,1024,24,24,256,1,bfloat16,fp8,0,1.2590293089548747
