framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1024,6144,16384,2,8,16,1,power_law_1.01,0.07266560196876526
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,160,7168,2048,8,384,1,4,power_law_1.2,1.1530943870544434
VLLM,0.20.0,NVIDIA B200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1536,6144,16384,2,8,16,1,power_law_1.01,0.08494719862937927
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,192,7168,2048,8,384,1,4,power_law_1.2,1.1717632293701172
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,256,7168,2048,8,384,1,4,power_law_1.2,1.2366975784301757
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,80,4096,1536,8,128,1,64,power_law_1.2,0.0844223976135254
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,320,7168,2048,8,384,1,4,power_law_1.2,1.2407808303833008
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,96,4096,1536,8,128,1,64,power_law_1.2,0.08606079816818238
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,128,4096,1536,8,128,1,64,power_law_1.2,0.09006720185279846
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,160,4096,1536,8,128,1,64,power_law_1.2,0.09798399806022644
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,bfloat16,384,7168,2048,8,384,1,4,power_law_1.2,1.3073535919189454
VLLM,0.20.0,NVIDIA B200,moe,vllm_marlin_int4_moe,int4_wo,160,4096,2688,22,512,1,1,balanced,15.956453959147135
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,192,4096,1536,8,128,1,64,power_law_1.2,0.10680320262908935
VLLM,0.20.0,NVIDIA B200,moe,vllm_fused_moe,fp8_block,256,4096,1536,8,128,1,64,power_law_1.2,0.11876480579376221
