framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,256,0.02044991970062256,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,512,0.007448319792747497,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,512,0.02034143924713135,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,1024,0.007625600099563598,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,1024,0.02001823902130127,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,2048,0.007981759905815126,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,2048,0.01995584011077881,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,4096,0.00794272005558014,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,4096,0.019963840246200563,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,8192,0.008181440234184264,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,8192,0.019985599517822267,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,16384,0.00827679991722107,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,16384,0.020009279251098633,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,32768,0.008635519742965699,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,32768,0.020252161026000977,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,65536,0.00946175992488861,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,65536,0.020379838943481447,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,131072,0.025401279926300046,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,131072,0.03287328004837036,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,262144,0.025487680435180664,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,262144,0.033309440612792965,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,524288,0.016560640335083008,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,524288,0.03688447952270508,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,1048576,0.019935040473937987,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,1048576,0.03634399890899658,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,2097152,0.0260534405708313,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,2097152,0.036058239936828614,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,4194304,0.03818272113800049,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,4194304,0.04485856056213379,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,8388608,0.062331838607788084,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,8388608,0.0693887996673584,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,16777216,0.11074399948120117,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,16777216,0.12558464050292967,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,33554432,0.2234649658203125,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,33554432,0.25157567977905276,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,67108864,0.39585758209228517,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,67108864,0.4286553573608399,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,134217728,0.71463134765625,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,134217728,0.7886601257324218,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,268435456,1.334830780029297,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,268435456,1.504129638671875,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,8,536870912,2.5962841796875002,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,8,536870912,2.931876220703125,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,128,0.006188480257987976,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,128,0.021845760345458983,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,256,0.006215999722480774,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,256,0.021806080341339112,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,512,0.006414719820022582,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,512,0.021937921047210693,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,1024,0.006575999855995178,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,1024,0.02181056022644043,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,2048,0.006589120030403137,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,2048,0.02190687894821167,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,4096,0.00660863995552063,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,4096,0.02180896043777466,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,8192,0.0066016000509262086,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,8192,0.021987199783325195,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,16384,0.006588159799575806,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,16384,0.02115040063858032,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,32768,0.006657279729843139,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,32768,0.021343040466308593,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,65536,0.007425280213356018,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,65536,0.02133023977279663,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,131072,0.007722560167312623,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,131072,0.021335039138793945,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,262144,0.009419519901275635,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,262144,0.020989439487457275,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,524288,0.013405120372772217,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,524288,0.021144959926605224,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,1048576,0.02582815885543823,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,1048576,0.037596800327301026,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,2097152,0.03343935966491699,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,2097152,0.04116127967834472,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,4194304,0.04482304096221924,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,4194304,0.04604479789733887,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,8388608,0.05726560115814209,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,8388608,0.058873920440673834,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,16777216,0.08648832321166992,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,16777216,0.0971008014678955,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,33554432,0.15470463752746583,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,33554432,0.17601535797119142,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,67108864,0.2815523147583008,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,67108864,0.3220864105224609,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,134217728,0.5242063903808594,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,134217728,0.605943374633789,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,268435456,1.0105522918701173,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,268435456,1.175310745239258,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,2,536870912,1.9224899291992188,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,2,536870912,2.2537808227539062,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,128,0.006957759857177734,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,128,0.020208001136779785,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,256,0.006789759993553161,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,256,0.01984063982963562,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,512,0.006977599859237671,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,512,0.02180704116821289,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,1024,0.007033280134201051,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,1024,0.02146239995956421,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,2048,0.007060160040855408,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,2048,0.020234880447387697,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,4096,0.007156159877777099,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,4096,0.02022752046585083,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,8192,0.00738752007484436,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,8192,0.02000096082687378,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,16384,0.007385920286178589,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,16384,0.02004575967788696,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,32768,0.007365760207176208,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,32768,0.020065600872039797,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,65536,0.008120319843292237,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,65536,0.0199510395526886,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,131072,0.008620479702949524,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,131072,0.01987712025642395,vllm_eager
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_graph,bfloat16,4,262144,0.01803007960319519,vllm_graph
vLLM,0.20.0,NVIDIA B200,all_reduce,vLLM_custom_eager,bfloat16,4,262144,0.02558016061782837,vllm_eager
