framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,32,2688,1856,6,128,32,1,power_law_1.01,0.2970240116119385
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,128,4096,1536,8,128,1,32,balanced,0.15657599767049155
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,128,7168,2048,8,256,32,1,power_law_1.01,0.47105917930603025
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,128,7168,2048,8,384,8,1,balanced,2.53002659479777
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,128,6144,2560,8,160,1,4,power_law_1.2,2.17706241607666
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,128,7168,2048,8,256,1,64,power_law_1.2,0.28273921012878417
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,128,7168,2048,8,384,4,1,power_law_1.01,3.6645248413085936
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_marlin_int4_moe,int4_wo,1536,4096,14336,2,8,2,1,power_law_1.2,11.698470306396484
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,160,4096,1536,8,128,1,32,balanced,0.16921599706013998
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,192,4096,1536,8,128,1,32,balanced,0.17371733983357748
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,256,4096,1536,8,128,1,32,balanced,0.18162665764490762
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,320,4096,1536,8,128,1,32,balanced,0.1902666687965393
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,384,4096,1536,8,128,1,32,balanced,0.19714132944742838
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,512,4096,1536,8,128,1,32,balanced,0.2137599984804789
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,160,7168,2048,8,256,32,1,power_law_1.01,0.5409023761749268
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,192,7168,2048,8,256,32,1,power_law_1.01,0.5442624092102051
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,160,7168,2048,8,384,8,1,balanced,2.6018187204996743
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,256,7168,2048,8,256,32,1,power_law_1.01,0.5924032211303711
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,160,7168,2048,8,384,4,1,power_law_1.01,3.8830078125
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,192,7168,2048,8,384,8,1,balanced,2.6148692766825357
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,320,7168,2048,8,256,32,1,power_law_1.01,0.6224448204040527
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,256,7168,2048,8,384,8,1,balanced,2.643727938334147
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,160,6144,2560,8,160,1,4,power_law_1.2,2.1726911544799803
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,160,7168,2048,8,256,1,64,power_law_1.2,0.31923201084136965
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,320,7168,2048,8,384,8,1,balanced,2.671349207560221
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,192,7168,2048,8,384,4,1,power_law_1.01,3.9928382873535155
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,192,7168,2048,8,256,1,64,power_law_1.2,0.3247744083404541
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,384,7168,2048,8,256,32,1,power_law_1.01,0.632748794555664
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,bfloat16,384,7168,2048,8,384,8,1,balanced,2.699215888977051
