framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_fn,context,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.46646718978881835
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,512,1,512,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.014508800208568573
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,1024,1,1024,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.024889600276947022
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.005641600117087364
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,2,1,2,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.005811199918389321
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,4,1,4,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.005795200169086456
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,8,1,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.005734400078654289
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,16,1,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.005804799869656563
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,32,1,32,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.0058975998312234875
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,64,1,64,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.005849599838256836
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,128,1,128,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.006444799900054932
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,256,1,256,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.009369599819183349
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,512,1,512,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.014435200393199921
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_update,generation,1024,1,1024,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.02481919974088669
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,causal_conv1d_fn,context,1,1,1,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.4582528114318848
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,chunk_gated_delta_rule,context,1,1,1,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.031436800956726074
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,chunk_gated_delta_rule,context,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.031615999341011045
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,chunk_gated_delta_rule,context,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.027747198939323425
vLLM,0.20.0,NVIDIA A100-SXM4-80GB,gdn,chunk_gated_delta_rule,context,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.028700798749923706
