framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,64,2,2,256,1,bfloat16,bfloat16,0,0.010709332923094431
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,1024,24,2,256,1,bfloat16,bfloat16,0,0.14666666587193808
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,8192,2,2,128,1,bfloat16,bfloat16,0,0.33954668045043945
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,64,12,2,128,1,bfloat16,bfloat16,0,0.00895999992887179
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,32,24,1,128,1,bfloat16,bfloat16,0,0.00860799973209699
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,1024,12,1,256,1,bfloat16,bfloat16,0,0.462063988049825
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,3072,32,4,128,1,bfloat16,bfloat16,0,0.9082026481628418
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,1024,24,1,256,1,bfloat16,bfloat16,0,0.2523519992828369
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,2048,8,8,256,1,bfloat16,bfloat16,0,0.3270080089569092
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,128,1,32,8,256,1,bfloat16,bfloat16,0,0.06921066840489705
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,1,4,4,256,1,bfloat16,bfloat16,0,0.008127999802430471
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,64,40,8,128,1,bfloat16,bfloat16,0,0.00927466650803884
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,64,2,2,128,1,bfloat16,bfloat16,0,0.009610666582981745
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,64,512,40,2,128,1,bfloat16,bfloat16,0,1.4560480117797852
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,512,32,32,256,1,bfloat16,bfloat16,0,0.365941325823466
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,4096,4,1,256,1,bfloat16,bfloat16,0,7.687690734863281
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,1536,40,4,128,1,bfloat16,bfloat16,0,0.3272053400675456
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,6144,40,2,256,1,bfloat16,bfloat16,0,5.41099230448405
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,64,16,24,2,128,1,bfloat16,bfloat16,0,0.05491200089454651
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,4096,24,2,128,1,bfloat16,bfloat16,0,0.6325493256251017
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,4096,2,2,128,1,bfloat16,bfloat16,0,0.2600640058517456
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,1024,40,8,128,1,bfloat16,bfloat16,0,2.286106745402018
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,64,4,1,256,1,bfloat16,bfloat16,0,0.010138666878143946
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,32,32,32,256,1,bfloat16,bfloat16,0,0.01607999950647354
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,32,48,48,128,1,bfloat16,bfloat16,0,0.011749333391586939
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,4096,4,4,256,1,bfloat16,bfloat16,0,1.073088010152181
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,16,4,2,256,1,bfloat16,bfloat16,0,0.01522133375207583
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,64,2,2,128,1,bfloat16,bfloat16,0,0.008682666967312494
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,256,40,2,256,1,bfloat16,bfloat16,0,0.08774933218955994
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,16,1,48,1,256,1,bfloat16,bfloat16,0,0.011039999624093374
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,1,40,1,128,1,bfloat16,bfloat16,0,0.018351999421914417
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,10240,24,8,256,1,bfloat16,bfloat16,0,8.812304178873697
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,1,24,1,256,1,bfloat16,bfloat16,0,0.023029332359631855
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,1,2,1,128,1,bfloat16,bfloat16,0,0.009418666362762451
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,256,4,4,128,1,bfloat16,bfloat16,0,0.040405333042144775
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,128,8,2,256,1,bfloat16,bfloat16,0,0.013957332819700241
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,64,1,40,2,256,1,bfloat16,bfloat16,0,0.026346666117509205
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,512,8,8,256,1,bfloat16,bfloat16,0,0.3678400119145711
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,8192,8,8,256,1,bfloat16,bfloat16,0,3.903242746988932
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,1024,24,4,128,1,bfloat16,bfloat16,0,1.3911946614583333
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,1,12,12,128,1,bfloat16,bfloat16,0,0.008474666625261307
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,12288,12,2,128,1,bfloat16,bfloat16,0,20.156021118164062
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,1536,32,2,128,1,bfloat16,bfloat16,0,0.26524800062179565
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,256,64,12,1,128,1,bfloat16,bfloat16,0,0.11931199828783672
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,2048,8,2,128,1,bfloat16,bfloat16,0,0.14247999588648477
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,64,24,8,128,1,bfloat16,bfloat16,0,0.009946666657924652
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,12288,32,4,128,1,bfloat16,bfloat16,0,25.11621348063151
VLLM,0.20.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,32,4096,32,1,256,1,bfloat16,bfloat16,0,60.677266438802086
