phase,workload_segment,counter_id,worker_id,dp_rank,sum_prefill_tokens,num_prefill_requests,sum_prefill_kv_tokens,var_prefill_length,num_decode_requests,sum_decode_kv_tokens,var_decode_kv_tokens,queued_prefill_requests,queued_prefill_tokens,queued_var_prefill_length,queued_decode_requests,queued_decode_kv_tokens,queued_var_decode_kv_tokens,latency_ms
decode,sweep,1252,2643417971761755901,0,0,0,0,0.000,3,12304,0.222,0,0,0.000,0,0,0.000,13.681
decode,sweep,1253,2643417971761755901,0,0,0,0,0.000,2,8204,0.000,0,0,0.000,0,0,0.000,13.537
context,sweep,1261,2643417971761755901,0,8192,2,0,0.000,0,0,0.000,1,4096,0.000,0,0,0.000,397.313
mixed,sweep,1262,2643417971761755901,0,8190,2,0,0.000,2,8192,0.000,10,40960,0.000,0,0,0.000,411.426
mixed,sweep,1263,2643417971761755901,0,8189,3,4094,0.000,3,12290,0.222,8,32768,0.000,0,0,0.000,408.237
mixed,sweep,1264,2643417971761755901,0,8187,3,4091,0.000,5,20485,0.800,6,24576,0.000,0,0,0.000,406.358
mixed,sweep,1265,2643417971761755901,0,8185,3,4086,0.000,7,28682,1.388,4,16384,0.000,0,0,0.000,412.272
mixed,sweep,1266,2643417971761755901,0,8183,3,4079,0.000,9,36881,2.099,2,8192,0.000,0,0,0.000,410.586
mixed,sweep,1267,2643417971761755901,0,8181,3,4070,0.000,11,45082,2.959,0,0,0.000,0,0,0.000,410.535
mixed,sweep,1268,2643417971761755901,0,8179,3,4059,0.000,13,53285,3.976,0,0,0.000,0,0,0.000,405.618
mixed,sweep,1269,2643417971761755901,0,50,1,4046,0.000,13,53284,3.562,0,0,0.000,0,0,0.000,17.428
decode,sweep,1270,2643417971761755901,0,0,0,0,0.000,13,53290,3.562,0,0,0.000,0,0,0.000,15.980
decode,sweep,1271,2643417971761755901,0,0,0,0,0.000,11,45097,2.562,0,0,0.000,0,0,0.000,15.302
decode,sweep,1272,2643417971761755901,0,0,0,0,0.000,9,36902,1.728,0,0,0.000,0,0,0.000,14.938
decode,sweep,1273,2643417971761755901,0,0,0,0,0.000,7,28705,1.061,0,0,0.000,0,0,0.000,14.255
decode,sweep,1274,2643417971761755901,0,0,0,0,0.000,5,20506,0.560,0,0,0.000,0,0,0.000,13.874
decode,sweep,1275,2643417971761755901,0,0,0,0,0.000,3,12305,0.222,0,0,0.000,0,0,0.000,13.570
decode,sweep,1276,2643417971761755901,0,0,0,0,0.000,1,4102,0.000,0,0,0.000,0,0,0.000,13.322
context,sweep,1283,2643417971761755901,0,4096,1,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,200.551
decode,sweep,1284,2643417971761755901,0,0,0,0,0.000,1,4096,0.000,0,0,0.000,0,0,0.000,14.303
decode,sweep,1285,2643417971761755901,0,0,0,0,0.000,1,4097,0.000,0,0,0.000,0,0,0.000,14.339
decode,sweep,1286,2643417971761755901,0,0,0,0,0.000,1,4098,0.000,0,0,0.000,0,0,0.000,13.896
decode,sweep,1287,2643417971761755901,0,0,0,0,0.000,1,4099,0.000,0,0,0.000,0,0,0.000,13.517
decode,sweep,1288,2643417971761755901,0,0,0,0,0.000,1,4100,0.000,0,0,0.000,0,0,0.000,13.532
decode,sweep,1289,2643417971761755901,0,0,0,0,0.000,1,4101,0.000,0,0,0.000,0,0,0.000,13.532
