framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16384,7168,2048,8,384,8,1,power_law_1.01,1.166470432281494
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1,7168,2048,8,384,16,1,balanced,0.0603359987338384
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16384,7168,2048,8,384,1,8,power_law_1.01,0.8730879783630371
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,2,7168,2048,8,384,16,1,balanced,0.0621066689491272
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,4,7168,2048,8,384,16,1,balanced,0.08887466788291931
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,8,7168,2048,8,384,16,1,balanced,0.13782933354377747
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,16,7168,2048,8,384,16,1,balanced,0.2558986743291219
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,32,7168,2048,8,384,16,1,balanced,0.47678399085998535
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,48,7168,2048,8,384,16,1,balanced,0.6963733037312826
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1,7168,2048,8,384,1,16,power_law_1.01,0.023923200368881226
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,64,7168,2048,8,384,16,1,balanced,0.6804906527201334
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,1,3072,1536,8,256,2,1,power_law_1.2,0.025939199328422546
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2,7168,2048,8,384,1,16,power_law_1.01,0.024172799289226533
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4,7168,2048,8,384,1,16,power_law_1.01,0.024531200528144836
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8,7168,2048,8,384,1,16,power_law_1.01,0.04497919976711273
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,80,7168,2048,8,384,16,1,balanced,0.7366613547007242
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,96,7168,2048,8,384,16,1,balanced,0.8532266616821289
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,128,7168,2048,8,384,16,1,balanced,0.883466641108195
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16,7168,2048,8,384,1,16,power_law_1.01,0.058310401439666745
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,160,7168,2048,8,384,16,1,balanced,1.0271093050638835
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,192,7168,2048,8,384,16,1,balanced,1.0963199933369954
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,32,7168,2048,8,384,1,16,power_law_1.01,0.0705407977104187
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,256,7168,2048,8,384,16,1,balanced,1.2959893544514973
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,48,7168,2048,8,384,1,16,power_law_1.01,0.08156800270080566
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,64,7168,2048,8,384,1,16,power_law_1.01,0.09498879909515381
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,80,7168,2048,8,384,1,16,power_law_1.01,0.09667840003967285
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,96,7168,2048,8,384,1,16,power_law_1.01,0.0960319995880127
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,160,4096,1024,10,512,1,2,power_law_1.01,2.3817087173461915
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,128,7168,2048,8,384,1,16,power_law_1.01,0.09733759760856628
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,2,3072,1536,8,256,2,1,power_law_1.2,0.0381056010723114
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,160,7168,2048,8,384,1,16,power_law_1.01,0.10303360223770142
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,4,3072,1536,8,256,2,1,power_law_1.2,0.05761280059814453
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,192,4096,1024,10,512,1,2,power_law_1.01,2.4284223556518554
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,192,7168,2048,8,384,1,16,power_law_1.01,0.09994239807128906
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,8,3072,1536,8,256,2,1,power_law_1.2,0.09393280148506164
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,256,7168,2048,8,384,1,16,power_law_1.01,0.14362879991531372
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,320,7168,2048,8,384,1,16,power_law_1.01,0.1375488042831421
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,256,4096,1024,10,512,1,2,power_law_1.01,2.559014320373535
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,384,7168,2048,8,384,1,16,power_law_1.01,0.140447998046875
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,512,7168,2048,8,384,1,16,power_law_1.01,0.37842559814453125
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,320,4096,1024,10,512,1,2,power_law_1.01,2.4999359130859373
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,768,7168,2048,8,384,1,16,power_law_1.01,0.28348801136016843
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1024,7168,2048,8,384,1,16,power_law_1.01,0.2412992000579834
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,384,4096,1024,10,512,1,2,power_law_1.01,2.5810367584228517
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,1536,7168,2048,8,384,1,16,power_law_1.01,0.20906879901885986
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,2048,7168,2048,8,384,1,16,power_law_1.01,0.1883903980255127
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,512,4096,1024,10,512,1,2,power_law_1.01,2.6412160873413084
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,3072,7168,2048,8,384,1,16,power_law_1.01,0.20477440357208251
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,4096,7168,2048,8,384,1,16,power_law_1.01,0.23618559837341307
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,6144,7168,2048,8,384,1,16,power_law_1.01,0.3065407991409302
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,768,4096,1024,10,512,1,2,power_law_1.01,2.890547180175781
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,8192,7168,2048,8,384,1,16,power_law_1.01,0.3679487943649292
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,12288,7168,2048,8,384,1,16,power_law_1.01,0.47776641845703127
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1024,4096,1024,10,512,1,2,power_law_1.01,3.135750389099121
VLLM,0.20.0,NVIDIA GB200,moe,vllm_flashinfer_trtllm_moe_fp4,nvfp4,16384,7168,2048,8,384,1,16,power_law_1.01,0.6182079792022706
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1,7168,2048,8,384,1,64,power_law_1.2,0.11096960306167603
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,1536,4096,1024,10,512,1,2,power_law_1.01,3.5792190551757814
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,2,7168,2048,8,384,1,64,power_law_1.2,0.10076160430908203
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,4,7168,2048,8,384,1,64,power_law_1.2,0.10056960582733154
VLLM,0.20.0,NVIDIA GB200,moe,vllm_marlin_int4_moe,int4_wo,2048,4096,1024,10,512,1,2,power_law_1.01,4.0265857696533205
VLLM,0.20.0,NVIDIA GB200,moe,vllm_fused_moe,fp8,16,3072,1536,8,256,2,1,power_law_1.2,0.12579200267791749
