framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,hidden_size,message_size,num_tokens,latency,fusion_pattern,shape_policy,max_token_num,backend
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,20480,4,0.031428911209106444,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,35840,7,0.006479775905609131,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,35840,7,0.031539087295532224,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,66560,13,0.007115087985992431,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,66560,13,0.03136984062194824,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,133120,26,0.00854092788696289,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,133120,26,0.0313349609375,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,266240,52,0.011763504028320312,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,266240,52,0.03132683181762695,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,5120,527360,103,0.01726321601867676,allreduce_residual_rms,hidden_size_5120,204,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,5120,527360,103,0.03132251167297363,allreduce_residual_rms,hidden_size_5120,204,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,7168,1,0.006276000022888184,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,7168,1,0.031362911224365235,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,14336,2,0.006408271789550782,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,14336,2,0.03136838340759278,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,21504,3,0.006449295997619629,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,21504,3,0.031350751876831055,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,35840,5,0.006577216148376465,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,35840,5,0.031290672302246095,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,71680,10,0.00726535987854004,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,71680,10,0.03121817588806152,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,136192,19,0.008551664352416992,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,136192,19,0.03137059211730957,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,265216,37,0.011803248405456542,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,265216,37,0.03132715225219727,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,7168,530432,74,0.01789668846130371,allreduce_residual_rms,hidden_size_7168,146,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,7168,530432,74,0.03107540893554688,allreduce_residual_rms,hidden_size_7168,146,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,8192,1,0.005909039974212647,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,8192,1,0.031292720794677736,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,16384,2,0.006082320213317871,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,16384,2,0.03139809608459473,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,32768,4,0.006298975944519043,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,32768,4,0.031275503158569334,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,65536,8,0.007026080131530761,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,65536,8,0.0313812313079834,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,131072,16,0.008523344039916992,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,131072,16,0.031232048034667968,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,262144,32,0.011776063919067383,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,262144,32,0.031418352127075194,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,524288,64,0.01794228744506836,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,524288,64,0.031244672775268555,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_graph,bfloat16,8,8192,1048576,128,0.030615808486938477,allreduce_residual_rms,hidden_size_8192,128,vllm_graph
vLLM,0.20.1,NVIDIA B300 SXM6 AC,allreduce_rms,vLLM_allreduce_rms_eager,bfloat16,8,8192,1048576,128,0.03342438507080078,allreduce_residual_rms,hidden_size_8192,128,vllm_eager
