framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,256,4096,2048,6,256,1,4,power_law_1.2,0.22491519451141356,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,320,4096,2048,6,256,1,4,power_law_1.2,0.23519999980926515,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,384,4096,2048,6,256,1,4,power_law_1.2,0.21676158905029297,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,512,4096,2048,6,256,1,4,power_law_1.2,0.24965760707855225,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,768,4096,2048,6,256,1,4,power_law_1.2,0.19826560020446776,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,1024,4096,2048,6,256,1,4,power_law_1.2,0.22191359996795654,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,1536,4096,2048,6,256,1,4,power_law_1.2,0.2665024042129517,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,2048,4096,2048,6,256,1,4,power_law_1.2,0.2882303953170776,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,3072,4096,2048,6,256,1,4,power_law_1.2,0.3169152021408081,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,4096,4096,2048,6,256,1,4,power_law_1.2,0.35890560150146483,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,6144,4096,2048,6,256,1,4,power_law_1.2,0.4585792064666748,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,8192,4096,2048,6,256,1,4,power_law_1.2,0.5550079822540284,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,12288,4096,2048,6,256,1,4,power_law_1.2,0.7809023857116699,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a8_mxfp4_mxfp8,16384,4096,2048,6,256,1,4,power_law_1.2,0.937990379333496,,,,True
