framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,128,1,8,power_law_1.2,0.1068160057067871,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,128,1,8,power_law_1.2,0.12223360538482667,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,128,1,8,power_law_1.2,0.15738240480422974,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,128,1,8,power_law_1.2,0.1743615984916687,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,128,1,8,power_law_1.2,0.15807360410690308,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,128,1,8,power_law_1.2,0.17417600154876708,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,128,1,8,power_law_1.2,0.18803199529647827,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,160,2880,2880,4,128,1,8,power_law_1.2,0.1816704034805298,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,192,2880,2880,4,128,1,8,power_law_1.2,0.20135679244995117,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,256,2880,2880,4,128,1,8,power_law_1.2,0.2054271936416626,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,320,2880,2880,4,128,1,8,power_law_1.2,0.23382399082183838,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,384,2880,2880,4,128,1,8,power_law_1.2,0.24853758811950682,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_mxfp4_moe,w4a16_mxfp4,512,2880,2880,4,128,1,8,power_law_1.2,0.2901952028274536,,,,
