phase,workload_segment,counter_id,worker_id,dp_rank,ctx_tokens,ctx_requests,ctx_kv_tokens,decode_tokens,decode_requests,decode_kv_tokens,mean_decode_kv_tokens,queued_ctx_tokens,queued_ctx_requests,queued_decode_requests,queued_decode_kv_tokens,latency_ms
context,sweep,174,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,149.869
decode,sweep,175,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.919
decode,sweep,176,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.827
decode,sweep,177,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.779
decode,sweep,178,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.103
decode,sweep,179,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.983
decode,sweep,180,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.026
decode,sweep,181,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.068
context,sweep,188,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,118.954
decode,sweep,189,9242928653772033172,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,238.177
mixed,sweep,190,9242928653772033172,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,252.393
mixed,sweep,191,9242928653772033172,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,126.874
decode,sweep,192,9242928653772033172,0,0,0,0,4,4,16388,4097.000,0,0,0,0,13.306
decode,sweep,193,9242928653772033172,0,0,0,0,4,4,16392,4098.000,0,0,0,0,13.655
decode,sweep,194,9242928653772033172,0,0,0,0,4,4,16396,4099.000,0,0,0,0,13.168
decode,sweep,195,9242928653772033172,0,0,0,0,4,4,16400,4100.000,0,0,0,0,13.565
decode,sweep,196,9242928653772033172,0,0,0,0,3,3,12301,4100.333,0,0,0,0,13.357
decode,sweep,197,9242928653772033172,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.713
decode,sweep,198,9242928653772033172,0,0,0,0,2,2,8204,4102.000,0,0,0,0,12.581
context,sweep,204,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,111.879
decode,sweep,205,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,9.917
decode,sweep,206,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.000
decode,sweep,207,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.055
decode,sweep,208,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.111
decode,sweep,209,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.009
decode,sweep,210,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.085
decode,sweep,211,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.085
context,sweep,217,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,112.102
decode,sweep,218,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,134.492
decode,sweep,219,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.263
decode,sweep,220,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.089
decode,sweep,221,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.055
decode,sweep,222,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.095
decode,sweep,223,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.067
decode,sweep,224,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.180
context,sweep,231,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,114.306
decode,sweep,232,9242928653772033172,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,237.981
mixed,sweep,233,9242928653772033172,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,257.976
mixed,sweep,234,9242928653772033172,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,109.072
decode,sweep,235,9242928653772033172,0,0,0,0,4,4,16388,4097.000,0,0,0,0,10.998
decode,sweep,236,9242928653772033172,0,0,0,0,4,4,16392,4098.000,0,0,0,0,10.972
decode,sweep,237,9242928653772033172,0,0,0,0,4,4,16396,4099.000,0,0,0,0,11.045
decode,sweep,238,9242928653772033172,0,0,0,0,4,4,16400,4100.000,0,0,0,0,11.231
decode,sweep,239,9242928653772033172,0,0,0,0,3,3,12301,4100.333,0,0,0,0,11.013
decode,sweep,240,9242928653772033172,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.486
decode,sweep,241,9242928653772033172,0,0,0,0,2,2,8204,4102.000,0,0,0,0,10.877
context,sweep,247,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.603
decode,sweep,248,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,10.018
decode,sweep,249,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.977
decode,sweep,250,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,10.012
decode,sweep,251,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,10.067
decode,sweep,252,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,9.981
decode,sweep,253,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,10.023
decode,sweep,254,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.085
context,sweep,260,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.703
decode,sweep,261,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,134.623
decode,sweep,262,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,10.189
decode,sweep,263,9242928653772033172,0,0,0,0,1,1,4098,4098.000,0,0,0,0,9.927
decode,sweep,264,9242928653772033172,0,0,0,0,1,1,4099,4099.000,0,0,0,0,9.982
decode,sweep,265,9242928653772033172,0,0,0,0,1,1,4100,4100.000,0,0,0,0,10.105
decode,sweep,266,9242928653772033172,0,0,0,0,1,1,4101,4101.000,0,0,0,0,9.967
decode,sweep,267,9242928653772033172,0,0,0,0,1,1,4102,4102.000,0,0,0,0,10.091
context,sweep,274,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,113.835
decode,sweep,275,9242928653772033172,0,0,0,0,1,1,4096,4096.000,4096,1,0,0,238.159
mixed,sweep,276,9242928653772033172,0,8191,2,0,1,1,4097,4097.000,0,0,0,0,249.586
mixed,sweep,277,9242928653772033172,0,4097,2,4095,2,2,8194,4097.000,0,0,0,0,124.017
decode,sweep,278,9242928653772033172,0,0,0,0,4,4,16388,4097.000,0,0,0,0,13.213
decode,sweep,279,9242928653772033172,0,0,0,0,4,4,16392,4098.000,0,0,0,0,13.439
decode,sweep,280,9242928653772033172,0,0,0,0,4,4,16396,4099.000,0,0,0,0,13.568
decode,sweep,281,9242928653772033172,0,0,0,0,4,4,16400,4100.000,0,0,0,0,13.486
decode,sweep,282,9242928653772033172,0,0,0,0,3,3,12301,4100.333,0,0,0,0,13.417
decode,sweep,283,9242928653772033172,0,0,0,0,3,3,12304,4101.333,0,0,0,0,11.710
decode,sweep,284,9242928653772033172,0,0,0,0,2,2,8204,4102.000,0,0,0,0,12.803
context,sweep,286,9242928653772033172,0,4096,1,0,0,0,0,0.000,0,0,0,0,110.475
decode,sweep,287,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,10.124
decode,sweep,288,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.890
context,sweep,293,9242928653772033172,0,256,1,3840,0,0,0,0.000,0,0,0,0,34.414
decode,sweep,294,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,10.247
decode,sweep,295,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.944
context,sweep,302,9242928653772033172,0,256,1,3840,0,0,0,0.000,0,0,0,0,33.885
decode,sweep,303,9242928653772033172,0,0,0,0,1,1,4096,4096.000,0,0,0,0,10.080
decode,sweep,304,9242928653772033172,0,0,0,0,1,1,4097,4097.000,0,0,0,0,9.902
context,sweep,311,9242928653772033172,0,2048,1,0,0,0,0,0.000,0,0,0,0,147.509
decode,sweep,312,9242928653772033172,0,0,0,0,1,1,2048,2048.000,7168,4,0,0,269.212
mixed,sweep,313,9242928653772033172,0,8191,3,0,1,1,2049,2049.000,0,0,0,0,258.735
mixed,sweep,314,9242928653772033172,0,8189,5,3071,3,3,7170,2390.000,0,0,0,0,216.994
mixed,sweep,315,9242928653772033172,0,4,1,1020,7,7,17413,2487.571,0,0,0,0,39.969
decode,sweep,316,9242928653772033172,0,0,0,0,8,8,18444,2305.500,0,0,0,0,16.609
decode,sweep,317,9242928653772033172,0,0,0,0,8,8,18452,2306.500,0,0,0,0,14.542
decode,sweep,318,9242928653772033172,0,0,0,0,8,8,18460,2307.500,0,0,0,0,14.607
