phase,source,lane,group,kclass,start_us,dur_us
prefill_captured,golden,compute,backbone,dense_gemm,2102.13,4.544
prefill_captured,golden,comm,comm,all_reduce,2106.75,22.401
prefill_captured,golden,compute,moe,shared_expert,2238.414,2.4
prefill_captured,golden,compute,backbone,dense_gemm,2240.882,5.025
prefill_captured,golden,compute,backbone,dense_gemm,2241.17,8.545
prefill_captured,golden,compute,moe,router,2248.531,7.968
prefill_captured,golden,compute,moe,shared_expert,2250.163,1.76
prefill_captured,golden,compute,backbone,dense_gemm,2252.083,4.48
prefill_captured,golden,compute,backbone,dense_gemm,2255.891,5.856
prefill_captured,golden,compute,moe,moe_gemm,2256.563,30.048
prefill_captured,golden,compute,backbone,dense_gemm,2277.427,4.416
prefill_captured,golden,memory,backbone,elementwise,2282.259,1.856
prefill_captured,golden,compute,moe,moe_gemm,2283.603,18.272
prefill_captured,golden,memory,backbone,elementwise,2298.835,5.504
prefill_captured,golden,compute,moe,router,2299.987,4.48
prefill_captured,golden,comm,comm,all_reduce,2304.719,1.696
prefill_captured,golden,comm,comm,all_reduce,2306.514,22.401
prefill_captured,golden,memory,backbone,elementwise,2330.052,2.72
prefill_captured,golden,compute,backbone,dense_gemm,2332.708,6.657
prefill_captured,golden,compute,backbone,dense_gemm,2337.989,4.352
prefill_captured,golden,compute,backbone,dense_gemm,2341.381,2.784
prefill_captured,golden,memory,backbone,elementwise,2344.248,1.824
prefill_captured,golden,memory,backbone,gdn_mamba,2346.546,6.656
prefill_captured,golden,memory,backbone,gdn_mamba,2353.873,2.336
prefill_captured,golden,memory,backbone,elementwise,2356.552,2.144
prefill_captured,golden,memory,backbone,elementwise,2359.162,8.0
prefill_captured,golden,memory,backbone,elementwise,2367.696,2.016
prefill_captured,golden,memory,backbone,elementwise,2370.208,2.432
prefill_captured,golden,memory,backbone,gdn_mamba,2373.105,2.112
prefill_captured,golden,memory,backbone,gdn_mamba,2379.741,4.16
prefill_captured,golden,memory,backbone,elementwise,2391.806,1.312
prefill_captured,golden,memory,backbone,gdn_mamba,2407.942,13.248
prefill_captured,golden,memory,backbone,gdn_mamba,2439.043,5.92
prefill_captured,golden,memory,backbone,gdn_mamba,2469.294,10.496
prefill_captured,golden,memory,backbone,gdn_mamba,2496.56,5.376
prefill_captured,golden,memory,backbone,elementwise,2517.843,2.144
prefill_captured,golden,memory,backbone,elementwise,2523.474,6.528
prefill_captured,golden,memory,backbone,elementwise,2562.451,1.184
prefill_captured,golden,memory,backbone,elementwise,2563.726,3.968
prefill_captured,golden,memory,backbone,elementwise,2567.778,1.472
prefill_captured,golden,compute,backbone,dense_gemm,2569.464,4.64
prefill_captured,golden,comm,comm,all_reduce,2574.18,22.401
prefill_captured,golden,compute,moe,shared_expert,2713.794,2.72
prefill_captured,golden,compute,backbone,dense_gemm,2716.667,5.152
prefill_captured,golden,compute,backbone,dense_gemm,2716.923,8.544
prefill_captured,golden,compute,moe,router,2724.571,8.032
prefill_captured,golden,compute,moe,shared_expert,2726.075,1.664
prefill_captured,golden,compute,backbone,dense_gemm,2727.867,4.384
prefill_captured,golden,compute,backbone,dense_gemm,2731.259,3.904
prefill_captured,golden,compute,moe,moe_gemm,2732.795,28.384
prefill_captured,golden,compute,backbone,dense_gemm,2757.019,2.976
prefill_captured,golden,compute,moe,moe_gemm,2758.843,16.705
prefill_captured,golden,memory,backbone,elementwise,2773.212,1.632
prefill_captured,golden,compute,moe,router,2774.236,3.36
prefill_captured,golden,memory,backbone,elementwise,2775.196,4.928
prefill_captured,golden,comm,comm,all_reduce,2780.391,1.536
prefill_captured,golden,comm,comm,all_reduce,2782.003,22.401
prefill_captured,golden,memory,backbone,elementwise,2804.548,2.432
prefill_captured,golden,compute,backbone,dense_gemm,2806.916,6.496
prefill_captured,golden,compute,backbone,dense_gemm,2812.228,4.192
prefill_captured,golden,compute,backbone,dense_gemm,2815.748,2.592
prefill_captured,golden,memory,backbone,elementwise,2818.424,1.92
prefill_captured,golden,memory,backbone,gdn_mamba,2820.978,6.336
prefill_captured,golden,memory,backbone,gdn_mamba,2827.687,2.336
prefill_captured,golden,memory,backbone,elementwise,2830.367,2.144
prefill_captured,golden,memory,backbone,elementwise,2832.976,7.936
prefill_captured,golden,memory,backbone,elementwise,2841.461,2.016
prefill_captured,golden,memory,backbone,elementwise,2843.973,2.432
prefill_captured,golden,memory,backbone,gdn_mamba,2846.878,2.048
prefill_captured,golden,memory,backbone,gdn_mamba,2849.407,4.193
prefill_captured,golden,memory,backbone,elementwise,2860.062,1.344
prefill_captured,golden,memory,backbone,gdn_mamba,2873.354,13.248
prefill_captured,golden,memory,backbone,gdn_mamba,2903.647,5.952
prefill_captured,golden,memory,backbone,gdn_mamba,2934.212,10.336
prefill_captured,golden,memory,backbone,gdn_mamba,2961.073,5.472
