workload_label,request_index,endpoint,target_isl,target_osl,prompt_tokens,max_tokens,prompt_token_mode,shape_source
mixed,158,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,159,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,160,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,161,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,162,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,163,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,164,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,165,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,166,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,167,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,168,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,169,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,170,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,171,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,172,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,173,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,174,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,175,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,176,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,177,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,178,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,179,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,180,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,181,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,182,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,183,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,184,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,185,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,186,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,187,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,188,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,189,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,190,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,191,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,192,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,193,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,194,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,195,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,196,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,197,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,198,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,199,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,200,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,201,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,202,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,203,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,204,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,205,completions,2048,32,2048,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,206,completions,4096,32,4096,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
mixed,207,completions,1024,32,1024,32,random_vocab_excluding_special,explicit_or_logspace_shape_grid
real,208,completions,293,155,293,155,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,209,completions,147,3791,147,3791,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,210,completions,11470,2431,11470,2431,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,211,completions,107,960,107,960,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,212,completions,100,100,100,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,213,completions,256,103,256,103,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,214,completions,2176,553,2176,553,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,215,completions,2485,577,2485,577,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,216,completions,1986,2504,1986,2504,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,217,completions,9172,3410,9172,3410,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,218,completions,4503,120,4503,120,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,219,completions,2707,2731,2707,2731,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,220,completions,3193,857,3193,857,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,221,completions,3882,107,3882,107,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,222,completions,109,626,109,626,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,223,completions,7438,468,7438,468,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,224,completions,134,126,134,126,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,225,completions,866,1788,866,1788,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,226,completions,224,734,224,734,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,227,completions,2824,2654,2824,2654,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,228,completions,105,1033,105,1033,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,229,completions,2276,100,2276,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,230,completions,1145,601,1145,601,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,231,completions,971,100,971,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,232,completions,5011,3502,5011,3502,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,233,completions,9714,123,9714,123,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,234,completions,1208,2891,1208,2891,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,235,completions,16384,379,16384,379,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,236,completions,642,678,642,678,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,237,completions,313,651,313,651,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,238,completions,2595,100,2595,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,239,completions,123,2157,123,2157,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,240,completions,185,363,185,363,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,241,completions,164,101,164,101,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,242,completions,383,129,383,129,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,243,completions,100,825,100,825,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,244,completions,15993,160,15993,160,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,245,completions,15608,2360,15608,2360,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,246,completions,4185,227,4185,227,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,247,completions,532,412,532,412,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,248,completions,4668,1152,4668,1152,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,249,completions,15230,4096,15230,4096,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,250,completions,274,3992,274,3992,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,251,completions,1274,268,1274,268,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,252,completions,5943,292,5943,292,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,253,completions,1342,1966,1342,1966,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,254,completions,100,247,100,247,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,255,completions,14858,2092,14858,2092,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,256,completions,128,106,128,106,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,257,completions,1085,333,1085,333,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,258,completions,4031,430,4031,430,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,259,completions,5370,996,5370,996,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,260,completions,115,395,115,395,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,261,completions,6347,100,6347,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,262,completions,13090,112,13090,112,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,263,completions,437,172,437,172,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,264,completions,8399,114,8399,114,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,265,completions,2079,2291,2079,2291,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,266,completions,1413,890,1413,890,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,267,completions,603,110,603,110,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,268,completions,6142,1419,6142,1419,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,269,completions,10567,102,10567,102,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,270,completions,770,1325,770,1325,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,271,completions,102,2028,102,2028,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,272,completions,1808,2810,1808,2810,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,273,completions,100,100,100,100,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,274,completions,1723,1280,1723,1280,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,275,completions,101,116,101,116,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,276,completions,358,3596,358,3596,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
real,277,completions,174,347,174,347,random_vocab_excluding_special,OpenAssistant/oasst1:scaled_large_shape_distribution
